start	end	text
0	2000	Ja, die hatten ja nur schudere MPs.
3360	5360	Okay, sonst hätte ich meine Küche.
5360	7920	Wer will ein M4 haben?
9200	10160	Ich glaube Jakob.
10960	12640	Jakob willst du für mich miauen?
16480	17360	Ach, sei.
17760	19520	Auf jeden Fall, das nächste Endprojekt.
19520	20080	Uh!
20080	21200	Danke für die Skin.
23840	26880	Ein skin-greedy Typ, der nicht mal einen Plan von irgendwelchen Skins hat.
26880	28000	Das ist echt unglaublich.
28080	30560	Ich wette, es ist immerhin ein krasser Skin.
32720	33360	Einer.
34080	35120	Oh!
37120	37840	Drüben.
38720	40640	Don't be a loser.
40640	41440	Aber der T-Ramp schnappt.
41440	43440	Ich habe keine Wache, wenn er nebenfigt, wenn der T-Ramp genau abkommt.
43840	45360	Beide, der Fusor.
46160	48160	Das war schon ein bisschen deep, den Molo am normalen.
53760	54640	So ist es.
54640	55360	Okay.
55360	56160	Fuck.
57760	59760	Ich glaube, Smokespeedings.
60240	60880	Noch einer.
60880	61520	Nice!
61520	63520	Wait, der killt dich, hau!
65680	67680	So, hat das beide rotiert, was meinet ihr?
68400	70400	Ja, ja, ja, ja, die haben P.
70640	71600	Ja, die haben P.
72640	74640	Irgendwo schon noch, ebenso.
76240	76880	Ah.
79600	80640	Tar ist einer.
83440	84160	Hau!
84240	86240	Okay, einer dark, wenn ich es nicht bekomme.
89360	90000	Ruined.
90000	90800	Okay.
90800	92800	Einen Tanks box.
93440	94640	Der stirbt auf Tanks.
94640	95760	Ja, und Box.
97840	99840	Dark, dark, dark, dark, dark.
106640	110240	Ich habe gerade gedacht, dass du dich selber killst, wenn du das nade ist.
111200	116320	Ah, ich glaube, ich glaube schon, aber es ist sehr knapp.
116320	118320	Aber wir haben noch einen bei.
