start	end	text
0	6160	wha?
16160	16800	yes yes
16800	18800	I'm down
24920	26920	Mid out!
26920	28920	Mid!
28920	30920	Mid! Mid!
30920	32920	Dead! He's dead!
32920	34920	He's bombed mid, he could've bombed
34920	36920	Nice!
47520	49520	What?
49520	51520	You have to shoot me
51520	53520	What?
53520	55520	You have to shoot me
55520	57520	Nooo
57520	59520	Nooo
59520	61520	Nooo
61520	63520	Nooo
63520	65520	Nooo
65520	67520	Nooo
67520	69520	Nooo
69520	71520	Nooo
71520	73520	Nooo
73520	75520	Nooo
75520	77520	I see, I see, I see
77520	79520	What the fuck dude
79520	81520	What?
81520	83520	So if someone from the left is pushed
83520	85520	it's called left radical?
85520	87520	Yes
87520	89520	Actually I know
89520	91520	Why?
93520	95520	I don't know
95520	97520	It's opposite
97520	99520	to rational
99520	101520	Yes
101520	103520	Dude
103520	105520	No
105520	107520	I'm going to dance in status
107520	109520	Yes
109520	111520	What?
111520	113520	No
113520	115520	No
115520	117520	No
117520	119520	The shit doesn't stick
119520	121520	No, no, it doesn't stick
