start	end	text
0	16000	Yeah, I guess so. Why lol?
16000	23000	Roman is, I quote, and it's really not extra.
23000	43000	It wasn't the opponent, nailed it.
43000	45000	Too much still.
45000	55000	Aha, now you're talking about TKs.
55000	57000	You can't be serious.
57000	63000	At least I do enough, little damage.
63000	67000	Because it's team damage. At least I do enough, little team damage.
67000	69000	Dude, too much still.
69000	72000	That's not an argument.
72000	76000	What was that? I didn't even expect this context.
76000	78000	I expected the context of grandmother.
78000	80000	And it's really not extra.
80000	82000	Aha, like that. It's really not extra.
82000	84000	The only time...
84000	86000	Yes, yes.
86000	90000	It's really not extra. The only time he really stood between the opponent.
90000	94000	There I just saw something moving and panicked.
94000	100000	Yeah, Dash, it wasn't the opponent.
100000	104000	But I remember a Vertigo clip.
104000	107000	And there you are.
107000	111000	Basically standing on the headshot angle.
111000	115000	He was Genny. He was on AFD.
115000	118000	And then he flies.
118000	120000	On you.
120000	122000	And then he flies.
