start	end	text
0	2000	Das ist ein Leiden.
2000	4000	Ein Kuh am Start.
4000	6000	Einen.
6000	8000	Durch!
8000	10000	Durch, vamos!
10000	12000	Nein!
12000	14000	Bomben, Bomben!
14000	16000	Bomben und zwei Akkus.
16000	18000	Stamm.
18000	20000	Mit.
20000	22000	Mit.
22000	24000	Mit.
24000	26000	Mit.
26000	28000	Mit.
28000	30000	Was?
30000	32000	Was war das?
32000	34000	War das hinter der Ecke?
40000	42000	Hinter dir.
46000	48000	Nice.
48000	50000	Nice.
50000	52000	So schön.
52000	54000	CC halt.
54000	56000	Ich war hinter der Ecke.
56000	58000	What the fuck, Alter?
62000	64000	Sieh sieh, lohnt sich einfach.
66000	69000	Sieh sieh kann schon geil sein, aber sieh sieh kann auch absolut ein Scheiss sein.
69000	70000	Das stimmt, ja.
70000	72000	Und vor allem geht sie halt...
72000	74000	...dass sie schiess, sie hat verdammt lang zum Rausziehen.
75000	76000	Ja, das stimmt.
76000	78000	Schau mal, ich hab ein Schwab-Gun.
79000	80000	Was für ein Schwab?
81000	82000	Ein Schwab-Gun?
83000	85000	Entschuldigung, Alter, ich hab ein Schwab-Gun.
86000	87000	Was?
87000	88000	Was ist denn das?
88000	89000	Ein Schwab-Gun?
89000	90000	Was?
91000	93000	Gut, jetzt bin ich doch ein bisschen deutsch geworden, sorry.
95000	96000	Hä? Was?
96000	97000	Jetzt komm ich gerne wieder raus.
102000	104000	Sieh sieh, steht drauf...
104000	106000	Sieh sieh, steht drauf, made in Czech Republic.
106000	108000	Ich weiss nicht, was du hast.
113000	115000	Was für ein Schwab-Gun, Alter.
119000	120000	Na, geht los.
