start	end	text
0	2000	...dann ist es pusheshaltend, fast wie Stoxx
3800	5800	Knaut sehr einfach zu holen
14160	16160	Ich halt nur den Boost rechts
16480	16980	Jojo
20160	20660	Boost
22360	22860	Da direkt
25120	25620	Warte
25840	26340	Mid out
26840	27340	WTF
28040	28540	Mid
29200	29700	Mid
29700	30200	Zerstört
30600	31100	Zerstört
33060	35060	Bombe dort mit, der hat noch Bombe gehabt
37480	37980	Nice
59700	61700	Ich muss nicht gleich los, okay
61700	63700	Gesehen, gesehen, gesehen
63700	65700	What the fuck, Alter
65700	67700	Nochmal, was?
67700	69700	Also, wer irgendwer von links rushed
69700	71700	heisst links Radik
71700	73700	Ja
73700	75700	Actually, wait
75700	77700	Was?
77700	79700	Was?
79700	81700	Also, wer irgendwer von links rushed
81700	83700	heisst links Radik
83700	85700	Ja
85700	87700	Actually, wait
87700	89700	Actually, wait
89700	91700	Okay, wie integrieren wir jetzt das Colored AFD
91700	93700	in die ganze Sache rein, das ist die Entscheidung
93700	95700	Das gibt's schon
95700	97700	Das gibt's schon
97700	99700	Das ist Opposite-Vigoration
99700	101700	Also, wenn wir quasi rechts
101700	103700	am AFD vorbei pushen,
103700	105700	nehmen wir das dann wieder
105700	107700	Dann sind es Tazis
107700	109700	Hahaha
109700	111700	Ja
111700	113700	Was?
113700	115700	Blondes
115700	117700	Blondes
117700	119700	Klebt der Shit jetzt nicht
119700	121700	Nein, Alter, sehr bequem
